Goalkeeping_Rk,Goalkeeping_Player,Goalkeeping_Nation,Goalkeeping_Pos,Goalkeeping_Squad,Goalkeeping_Age,Goalkeeping_Born,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Starts,Goalkeeping_Playing_Time_Min,Goalkeeping_Playing_Time_90s,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Matches,Goalkeeping_Player_Link,Goalkeeping_Player_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
34,Alessandro Russo,it ITA,GK,Sassuolo,21,2001,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/3945ac70/Alessandro-Russo,3945ac70,0,0,0,2.8,0.40,-0.2,-0.22,0,12,0.0,42,2,28.6,30.7,8,0.0,18.3,14,0,0.0,0,0.00,10.0,Serie A
35,Mouhamadou Sarr,sn SEN,GK,Cremonese,25,1997,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/b959a0d1/Mouhamadou-Sarr,b959a0d1,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50.0,71,12,40.8,35.7,12,75.0,53.6,18,0,0.0,1,0.50,8.6,Serie A
36,Luigi Sepe,it ITA,GK,Salernitana,31,1991,17,17,1530,17.0,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9,Matches,https://fbref.com/en/players/343f753a/Luigi-Sepe,343f753a,0,0,0,30.3,0.27,+3.3,+0.20,76,274,27.7,490,84,40.6,35.9,154,48.7,41.1,222,16,7.2,13,0.76,14.2,Serie A
37,Marco Silvestri,it ITA,GK,Udinese,31,1991,38,38,3420,38.0,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0,Matches,https://fbref.com/en/players/0d422df7/Marco-Silvestri,0d422df7,2,3,2,48.7,0.31,+2.7,+0.07,144,380,37.9,872,142,31.9,32.0,302,33.8,34.1,547,13,2.4,21,0.55,12.2,Serie A
38,Salvatore Sirigu,it ITA,GK,Fiorentina,35,1987,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,10dc46f0,0,0,0,1.0,0.19,+1.0,+0.96,6,16,37.5,30,9,40.0,37.7,8,50.0,41.8,12,0,0.0,2,2.00,26.3,Serie A
39,Łukasz Skorupski,pl POL,GK,Bologna,31,1991,37,37,3330,37.0,49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0,22.2,Matches,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,ab4449d6,1,6,3,47.8,0.25,+1.8,+0.05,146,371,39.4,933,206,29.8,31.7,278,33.5,33.0,492,29,5.9,24,0.65,12.9,Serie A
40,Marco Sportiello,it ITA,GK,Atalanta,30,1992,15,14,1339,14.9,21,1.41,64,43,68.8,6,3,5,2,14.3,1,1,0,0,0.0,Matches,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,1,2,0,19.6,0.29,-1.4,-0.10,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0,Serie A
41,Mile Svilar,rs SRB,GK,Roma,22,1999,3,3,270,3.0,3,1.00,10,7,70.0,1,1,1,1,33.3,0,0,0,0,,Matches,https://fbref.com/en/players/bcf5058a/Mile-Svilar,bcf5058a,0,0,0,2.9,0.29,-0.1,-0.03,16,44,36.4,61,13,50.8,41.4,16,81.3,60.1,42,6,14.3,4,1.33,12.1,Serie A
42,Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,28,28,2472,27.5,26,0.95,93,67,75.3,17,3,8,14,50.0,3,3,0,0,0.0,Matches,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,0,5,0,26.0,0.25,0.0,0.00,128,270,47.4,634,128,32.2,33.5,153,43.1,38.3,389,11,2.8,21,0.76,14.7,Serie A
43,Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,16,16,1440,16.0,22,1.37,61,40,67.2,9,3,4,4,25.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu,b056e3da,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4,Serie A
44,Pietro Terracciano,it ITA,GK,Fiorentina,32,1990,29,29,2610,29.0,38,1.31,96,59,66.7,9,8,12,5,17.2,7,6,1,0,14.3,Matches,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,0,3,2,33.1,0.28,-2.9,-0.10,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.90,18.4,Serie A
45,Martin Turk,si SVN,GK,Sampdoria,18,2003,4,4,360,4.0,9,2.25,30,21,73.3,1,1,2,0,0.0,2,1,0,1,0.0,Matches,https://fbref.com/en/players/14ae023f/Martin-Turk,14ae023f,0,3,0,8.0,0.26,-1.0,-0.25,35,78,44.9,99,15,41.4,35.1,43,86.0,56.3,60,0,0.0,2,0.50,12.3,Serie A
