Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Salernitana,3,38,3420,48,1.26,117,71,60.7,14,15,9,11,28.9,2,2,0,0,0.0,c5577084,1,5,2,39.0,0.32,-7.0,-0.18,121,387,31.3,965,167,31.3,32.7,210,40.5,37.0,434,23,5.3,42,1.11,15.9,Serie A
vs Sampdoria,3,38,3420,24,0.63,116,92,80.2,25,10,3,21,55.3,2,1,1,0,50.0,8ff9e3b3,0,3,1,26.2,0.21,3.2,0.08,159,449,35.4,1033,163,35.1,33.8,215,40.0,39.2,483,27,5.6,28,0.74,13.9,Serie A
vs Sassuolo,3,38,3420,47,1.24,171,124,77.8,17,9,12,10,26.3,10,9,1,0,10.0,e2befd26,1,5,1,48.1,0.23,2.1,0.06,197,491,40.1,1166,195,31.3,31.3,261,48.3,40.0,471,17,3.6,25,0.66,13.9,Serie A
vs Spezia,4,38,3420,31,0.82,124,95,78.2,19,13,6,18,47.4,4,4,0,0,0.0,68449f6d,1,3,2,31.8,0.23,2.8,0.07,155,483,32.1,970,163,35.3,35.4,279,50.5,43.2,503,27,5.4,55,1.45,15.6,Serie A
vs Torino,1,38,3420,42,1.11,148,107,73.0,13,11,14,9,23.7,2,2,0,0,0.0,105360fe,0,2,1,44.2,0.29,3.2,0.08,244,657,37.1,1212,171,42.5,36.7,247,57.5,43.9,477,22,4.6,17,0.45,12.3,Serie A
vs Udinese,1,38,3420,47,1.24,147,100,68.7,14,13,11,12,31.6,2,1,1,0,50.0,04eea015,1,4,1,40.4,0.26,-5.6,-0.15,140,390,35.9,875,169,32.7,33.8,230,45.2,40.6,440,26,5.9,40,1.05,14.6,Serie A
vs Ajaccio,3,38,3417,23,0.61,89,65,80.9,26,5,7,22,57.9,9,6,2,1,25.0,7a54bb4f,0,3,1,30.0,0.25,8.0,0.21,156,414,37.7,945,154,31.2,32.7,226,52.7,41.7,504,31,6.2,28,0.74,13.4,Ligue 1
vs Angers,2,38,3420,33,0.87,125,94,76.8,28,6,4,13,34.2,4,4,0,0,0.0,69236f98,1,3,2,36.6,0.26,5.6,0.15,156,440,35.5,940,138,33.2,33.3,226,56.6,43.0,466,41,8.8,30,0.79,12.9,Ligue 1
vs Auxerre,3,38,3420,35,0.92,125,92,77.6,19,11,8,11,28.9,9,7,1,1,12.5,5ae09109,1,5,3,32.3,0.2,0.3,0.01,174,400,43.5,901,167,31.1,30.8,266,45.1,37.2,494,29,5.9,37,0.97,14.2,Ligue 1
vs Brest,2,38,3420,44,1.16,140,96,73.6,16,11,11,10,26.3,8,7,1,0,12.5,fb08dbb3,1,10,1,37.0,0.22,-6.0,-0.16,125,382,32.7,873,182,32.4,31.5,268,36.9,34.9,625,49,7.8,27,0.71,10.9,Ligue 1
