Standard_Squad,Standard_No_Pl,Standard_Age,Standard_Poss,Standard_Playing_Time_MP,Standard_Playing_Time_Starts,Standard_Playing_Time_Min,Standard_Performance_Gls,Standard_Performance_Ast,Standard_Performance_G_Plus_A,Standard_Performance_G_PK,Standard_Performance_PK,Standard_Performance_PKatt,Standard_Performance_CrdY,Standard_Performance_CrdR,Standard_Expected_xG,Standard_Expected_npxG,Standard_Expected_xAG,Standard_Expected_npxG_Plus_xAG,Standard_Progression_PrgC,Standard_Progression_PrgP,Standard_Per_90_Minutes_Gls,Standard_Per_90_Minutes_Ast,Standard_Per_90_Minutes_G_Plus_A,Standard_Per_90_Minutes_G_PK,Standard_Per_90_Minutes_G_Plus_A_PK,Standard_Per_90_Minutes_xG,Standard_Per_90_Minutes_xAG,Standard_Per_90_Minutes_xG_Plus_xAG,Standard_Per_90_Minutes_npxG,Standard_Per_90_Minutes_npxG_Plus_xAG,Standard_Team_ID,Shooting_Standard_Sh,Shooting_Standard_SoT,Shooting_Standard_SoT_Pct,Shooting_Standard_Sh_per90,Shooting_Standard_SoT_per90,Shooting_Standard_G_perSh,Shooting_Standard_G_perSoT,Shooting_Standard_Dist,Shooting_Standard_FK,Shooting_Expected_npxG_perSh,Shooting_Expected_G_xG,Shooting_Expected_np_G_xG,Passing_Total_Cmp,Passing_Total_Att,Passing_Total_Cmp_Pct,Passing_Total_TotDist,Passing_Total_PrgDist,Passing_Short_Cmp,Passing_Short_Att,Passing_Short_Cmp_Pct,Passing_Medium_Cmp,Passing_Medium_Att,Passing_Medium_Cmp_Pct,Passing_Long_Cmp,Passing_Long_Att,Passing_Long_Cmp_Pct,Passing_xA,Passing_A_xAG,Passing_KP,Passing_One_Third,Passing_PPA,Passing_CrsPA,Pass_Types_Pass_Types_Live,Pass_Types_Pass_Types_Dead,Pass_Types_Pass_Types_FK,Pass_Types_Pass_Types_TB,Pass_Types_Pass_Types_Sw,Pass_Types_Pass_Types_Crs,Pass_Types_Pass_Types_TI,Pass_Types_Pass_Types_CK,Pass_Types_Corner_Kicks_In,Pass_Types_Corner_Kicks_Out,Pass_Types_Corner_Kicks_Str,Pass_Types_Outcomes_Off,Pass_Types_Outcomes_Blocks,Goal_And_Shot_Creation_SCA,Goal_And_Shot_Creation_SCA_SCA90,Goal_And_Shot_Creation_SCA_Types_PassLive,Goal_And_Shot_Creation_SCA_Types_PassDead,Goal_And_Shot_Creation_SCA_Types_TO,Goal_And_Shot_Creation_SCA_Types_Sh,Goal_And_Shot_Creation_SCA_Types_Fld,Goal_And_Shot_Creation_SCA_Types_Def,Goal_And_Shot_Creation_GCA,Goal_And_Shot_Creation_GCA_GCA90,Goal_And_Shot_Creation_GCA_Types_PassLive,Goal_And_Shot_Creation_GCA_Types_PassDead,Goal_And_Shot_Creation_GCA_Types_TO,Goal_And_Shot_Creation_GCA_Types_Sh,Goal_And_Shot_Creation_GCA_Types_Fld,Goal_And_Shot_Creation_GCA_Types_Def,Defensive_Tackles_Tkl,Defensive_Tackles_TklW,Defensive_Tackles_Def_3rd,Defensive_Tackles_Mid_3rd,Defensive_Tackles_Att_3rd,Defensive_Challenges_Tkl,Defensive_Challenges_Att,Defensive_Challenges_Tkl_Pct,Defensive_Challenges_Lost,Defensive_Blocks,Defensive_Blocks_Sh,Defensive_Blocks_Pass,Defensive_Int,Defensive_Tkl_Plus_Int,Defensive_Clr,Defensive_Err,Possession_Touches,Possession_Touches_Def_Pen,Possession_Touches_Def_3rd,Possession_Touches_Mid_3rd,Possession_Touches_Att_3rd,Possession_Touches_Att_Pen,Possession_Touches_Live,Possession_Take_Ons_Att,Possession_Take_Ons_Succ,Possession_Take_Ons_Succ_Pct,Possession_Take_Ons_Tkld,Possession_Take_Ons_Tkld_Pct,Possession_Carries,Possession_Carries_TotDist,Possession_Carries_PrgDist,Possession_Carries_One_Third,Possession_Carries_CPA,Possession_Carries_Mis,Possession_Carries_Dis,Possession_Receiving_Rec,Possession_Receiving_PrgR,Playing_Time_Playing_Time_Mn_perMP,Playing_Time_Playing_Time_Min_Pct,Playing_Time_Starts_Mn_perStart,Playing_Time_Starts_Compl,Playing_Time_Subs,Playing_Time_Subs_Mn_perSub,Playing_Time_Subs_unSub,Playing_Time_Team_Success_PPM,Playing_Time_Team_Success_onG,Playing_Time_Team_Success_onGA,Playing_Time_Team_Success_Plus_per,Playing_Time_Team_Success_Plus_per_90,Playing_Time_Team_Success_xG_onxGA,Playing_Time_Team_Success_xG_xG_Plus_per,Playing_Time_Team_Success_xG_xG_Plus_per_90,Misc_Performance_2CrdY,Misc_Performance_Fls,Misc_Performance_Fld,Misc_Performance_PKwon,Misc_Performance_PKcon,Misc_Performance_OG,Misc_Performance_Recov,Misc_Aerial_Duels_Won,Misc_Aerial_Duels_Lost,Misc_Aerial_Duels_Won_Pct,League
vs Hertha BSC,32,26.7,58.0,34,374,3060,69,51,120,64,5,6,47,1,60.0,55.5,46.3,101.8,535,1328,2.03,1.5,3.53,1.88,3.38,1.76,1.36,3.13,1.63,2.99,2818f8bc,469,164,35.0,13.79,4.82,0.14,0.39,16.5,22,0.12,9.0,8.5,13867,18039,76.9,250228,93013,5895,6904,85.4,6118,7220,84.7,1473,2855,51.6,43.4,4.7,366,1058,307,78,16064,1899,449,47,111,652,902,203,90,79,2,76,349,832,24.47,587,90,44,52,46,13,120,3.53,78,12,10,11,8,1,617,384,272,278,67,316,639,49.5,323,350,93,257,299,916,645,9,21919,2129,7146,9934,5053,796,21913,584,270,46.2,251,43.0,12197,61488,30902,411,153,554,325,13753,1314,90,100,80,220,153,24,147,1.91,69,42,27,0.79,39.4,20.5,0.6,0,412,400,2,7,0,1933,701,633,52.5,Bundesliga
vs Hoffenheim,31,26.6,51.7,34,374,3060,56,45,101,54,2,3,63,2,51.1,48.7,41.8,90.5,604,1338,1.65,1.32,2.97,1.59,2.91,1.5,1.23,2.73,1.43,2.66,033ea6b8,478,159,33.3,14.06,4.68,0.11,0.34,16.9,9,0.1,4.9,5.3,12906,16768,77.0,235808,93447,5651,6568,86.0,5435,6494,83.7,1515,2776,54.6,43.1,3.2,371,945,325,98,14896,1807,527,43,104,652,760,187,70,76,0,65,349,838,24.65,625,76,41,54,32,10,94,2.76,70,6,6,9,3,0,526,316,281,189,56,268,517,51.8,249,386,98,288,314,840,606,8,20608,2116,6832,9102,4900,842,20605,548,238,43.4,236,43.1,11555,57257,28924,418,165,550,307,12765,1325,90,100,80,214,157,23,146,1.76,57,48,9,0.26,48.0,3.1,0.09,1,382,458,1,9,2,1931,557,550,50.3,Bundesliga
vs Köln,27,26.5,50.1,34,374,3060,51,37,88,47,4,5,64,4,42.6,38.7,31.4,70.1,470,1157,1.5,1.09,2.59,1.38,2.47,1.25,0.92,2.18,1.14,2.06,bc357bf7,371,124,33.4,10.91,3.65,0.13,0.38,17.4,14,0.11,8.4,8.3,12817,16789,76.3,242447,92419,5059,5978,84.6,5825,6921,84.2,1630,2902,56.2,34.1,5.6,269,885,225,71,14939,1795,448,29,121,598,850,156,70,59,0,55,370,664,19.53,465,66,44,45,40,4,93,2.74,65,5,7,6,10,0,523,305,242,228,53,236,462,51.1,226,447,114,333,287,810,786,6,20809,2572,7931,8676,4413,695,20804,754,356,47.2,311,41.2,11381,56114,26165,342,121,516,305,12723,1144,90,100,80,213,160,22,149,1.41,54,49,5,0.15,47.9,-5.3,-0.16,1,369,386,4,4,3,1936,608,659,48.0,Bundesliga
vs Leverkusen,27,26.4,48.0,34,374,3060,47,29,76,40,7,7,95,1,42.8,37.3,28.8,66.1,481,1254,1.38,0.85,2.24,1.18,2.03,1.26,0.85,2.11,1.1,1.94,c7a9f859,386,139,36.0,11.35,4.09,0.1,0.29,17.6,19,0.1,4.2,2.7,13329,16950,78.6,242909,88868,5702,6537,87.2,5954,6929,85.9,1388,2613,53.1,35.3,0.2,280,973,246,60,15411,1477,397,35,91,525,641,131,68,54,2,62,304,651,19.15,465,64,25,42,38,17,79,2.32,56,6,1,5,9,2,595,326,232,263,100,268,620,43.2,352,388,109,279,334,929,527,7,20578,2068,6534,9823,4414,688,20571,477,185,38.8,236,49.5,11852,58640,28581,374,132,515,258,13202,1246,90,100,82,218,150,20,149,1.29,49,57,-8,-0.24,51.4,-8.6,-0.25,1,433,358,6,7,0,1928,492,430,53.4,Bundesliga
vs M'Gladbach,27,26.3,46.3,34,374,3060,54,37,91,48,6,6,66,6,53.4,48.7,35.1,83.8,600,1349,1.59,1.09,2.68,1.41,2.5,1.57,1.03,2.6,1.43,2.46,32f3ee20,476,174,36.6,14.0,5.12,0.1,0.28,17.4,18,0.11,0.6,-0.7,12596,16130,78.1,227403,84295,5369,6189,86.8,5568,6500,85.7,1323,2494,53.0,39.4,1.9,340,984,282,75,14554,1486,381,30,119,671,635,181,81,62,0,90,342,844,24.82,594,73,55,60,44,18,93,2.74,68,3,6,7,8,1,530,316,198,249,83,226,466,48.5,240,444,89,355,336,866,487,13,19733,1984,6287,8706,4915,837,19727,600,269,44.8,267,44.5,11138,57381,29794,364,187,420,230,12466,1333,90,100,86,241,133,12,147,1.44,55,52,3,0.09,52.1,1.3,0.04,3,464,320,5,6,0,1903,419,415,50.2,Bundesliga
vs Mainz 05,27,26.6,55.2,34,374,3060,55,42,97,51,4,8,72,5,53.6,47.5,39.0,86.5,595,1279,1.62,1.24,2.85,1.5,2.74,1.58,1.15,2.72,1.4,2.54,a224b06a,432,146,33.8,12.71,4.29,0.12,0.35,18.0,20,0.11,1.4,3.5,13921,18210,76.4,261007,96394,5658,6728,84.1,6359,7558,84.1,1650,3051,54.1,38.1,3.0,331,1135,254,76,16407,1755,520,45,108,599,755,142,55,71,1,48,363,777,22.85,554,67,48,43,56,9,97,2.85,70,5,11,6,4,1,471,298,228,189,54,220,444,49.5,224,411,102,309,296,767,789,17,22189,2407,7587,10213,4603,679,22181,626,289,46.2,270,43.1,12526,64082,31610,418,116,535,277,13791,1261,90,100,81,215,160,20,142,1.35,55,54,1,0.03,47.1,6.5,0.19,3,347,454,6,6,0,2006,703,740,48.7,Bundesliga
vs RB Leipzig,25,26.5,41.9,34,374,3060,39,23,62,32,7,8,81,1,37.2,30.9,23.5,54.4,424,1009,1.15,0.68,1.82,0.94,1.62,1.09,0.69,1.79,0.91,1.6,acbb6a5b,308,98,31.8,9.06,2.88,0.1,0.33,18.3,10,0.1,1.8,1.1,11163,14800,75.4,208081,81496,4585,5447,84.2,4874,5804,84.0,1395,2609,53.5,26.1,-0.5,220,763,217,60,13150,1601,449,34,102,483,673,120,60,42,1,49,370,540,15.88,386,45,36,33,33,7,64,1.88,44,4,1,7,8,0,586,342,290,234,62,270,615,43.9,345,484,120,364,407,993,586,10,18682,2193,6910,8220,3718,574,18674,581,259,44.6,253,43.5,9723,48361,23150,272,97,532,281,11063,993,90,100,82,214,158,20,147,0.88,41,64,-23,-0.68,62.7,-25.4,-0.75,1,418,372,5,7,0,1879,433,440,49.6,Bundesliga
vs Schalke 04,35,26.5,54.0,34,374,3060,70,50,120,65,5,6,78,3,57.1,52.5,40.7,93.1,577,1240,2.06,1.47,3.53,1.91,3.38,1.68,1.2,2.88,1.54,2.74,c539e393,488,188,38.5,14.35,5.53,0.13,0.35,17.0,9,0.11,12.9,12.5,12030,16016,75.1,223346,88735,5050,6046,83.5,5243,6326,82.9,1432,2742,52.2,43.7,9.3,376,947,311,78,14133,1821,475,49,139,618,795,206,102,77,2,62,331,886,26.06,650,79,58,49,39,11,128,3.76,100,2,11,5,7,3,523,316,222,241,60,249,447,55.7,198,394,108,286,262,785,840,2,20052,2361,7071,8459,4725,820,20046,640,299,46.7,253,39.5,10241,57629,29797,380,179,504,289,11844,1223,90,100,81,228,145,23,152,1.79,71,35,36,1.06,39.6,17.6,0.52,2,416,417,5,5,3,1860,739,692,51.6,Bundesliga
vs Stuttgart,30,26.4,49.8,34,374,3060,56,39,95,50,6,6,78,1,45.2,40.6,32.1,72.7,461,1226,1.65,1.15,2.79,1.47,2.62,1.33,0.94,2.27,1.19,2.14,598bc722,395,140,35.4,11.62,4.12,0.13,0.36,17.7,17,0.1,10.8,9.4,13193,16923,78.0,237955,87003,5549,6350,87.4,5894,6951,84.8,1340,2609,51.4,35.3,6.9,285,980,266,66,15251,1619,373,26,86,575,732,163,79,56,1,53,348,707,20.79,519,52,43,44,40,9,103,3.03,78,6,3,6,9,1,655,378,305,274,76,319,656,48.6,337,404,123,281,292,947,653,11,20700,2201,6789,9482,4622,688,20694,573,256,44.7,268,46.8,11517,58466,28309,355,116,488,260,13071,1212,90,100,82,229,140,19,149,1.68,57,45,12,0.35,47.6,-2.4,-0.07,0,422,330,5,5,0,1865,470,547,46.2,Bundesliga
vs Union Berlin,28,26.2,56.2,34,374,3060,38,26,64,31,7,7,61,3,42.6,37.1,30.5,67.6,525,1334,1.12,0.76,1.88,0.91,1.68,1.25,0.9,2.15,1.09,1.99,7a41008f,383,137,35.8,11.26,4.03,0.08,0.23,17.6,13,0.1,-4.6,-6.1,14887,18818,79.1,270421,94604,6145,7072,86.9,6786,7869,86.2,1576,2908,54.2,36.0,-4.5,276,1053,237,65,17083,1702,484,40,108,594,703,158,69,71,0,33,291,668,19.65,459,70,46,49,36,8,65,1.91,39,7,10,4,5,0,424,254,251,123,50,180,362,49.7,182,359,82,277,234,658,760,11,22481,1969,6688,11661,4308,688,22474,597,286,47.9,239,40.0,13570,68722,35019,359,109,512,255,14782,1322,90,100,82,207,165,18,154,0.94,38,51,-13,-0.38,37.9,4.7,0.14,3,363,423,4,7,2,1752,755,767,49.6,Bundesliga
vs Werder Bremen,25,26.4,50.7,34,374,3060,62,50,112,60,2,3,66,0,52.9,50.6,38.4,89.0,574,1303,1.82,1.47,3.29,1.76,3.24,1.56,1.13,2.69,1.49,2.62,62add3bf,474,181,38.2,13.94,5.32,0.13,0.33,17.5,14,0.11,9.1,9.4,12977,17033,76.2,232376,91048,5659,6643,85.2,5592,6660,84.0,1365,2711,50.4,41.3,11.6,342,997,285,74,15214,1726,469,52,64,629,770,190,93,72,2,93,316,802,23.59,564,75,62,49,38,14,103,3.03,77,3,10,8,2,3,474,290,182,224,68,228,461,49.5,233,371,80,291,303,777,568,5,20908,2043,6430,9833,4875,810,20905,706,317,44.9,300,42.5,11205,58806,27876,392,160,536,295,12850,1279,90,100,82,222,151,18,151,1.76,64,51,13,0.38,41.1,11.8,0.35,0,387,408,3,6,1,2089,622,631,49.6,Bundesliga
vs Wolfsburg,28,26.5,49.4,34,374,3060,45,33,78,41,4,7,78,2,51.3,45.8,36.3,82.2,467,1157,1.32,0.97,2.29,1.21,2.18,1.51,1.07,2.58,1.35,2.42,4eaa11d7,462,142,30.7,13.59,4.18,0.09,0.29,17.5,12,0.1,-6.3,-4.8,12117,15835,76.5,227907,90058,5145,5983,86.0,5099,6080,83.9,1571,2818,55.7,42.8,-3.3,332,942,259,69,14014,1727,413,63,137,616,741,205,69,81,7,94,365,816,24.0,572,96,33,54,48,13,76,2.24,56,2,5,6,4,3,540,321,249,218,73,268,524,51.1,256,378,97,281,307,847,573,9,19549,2261,7140,8006,4591,777,19542,587,256,43.6,265,45.1,10373,51181,24817,326,129,488,278,12007,1153,90,100,81,218,158,21,152,1.26,48,57,-9,-0.26,51.3,0.0,0.0,1,474,374,4,7,2,1885,546,525,51.0,Bundesliga
